1,1,93,94,91,94,58,74
2,2,83,90,94,94,73,84
3,3,94,94,79,94,43,75
4,4,91,89,90,95,38,80
5,5,90,91,90,93,42,73
6,6,93,89,75,94,60,93
7,7,90,94,89,91,45,74
8,8,89,85,92,94,40,66
9,9,85,55,74,69,95,82
10,10,87,92,76,85,44,74
11,11,90,91,87,91,50,74
12,12,91,94,67,82,46,90
13,13,89,93,66,80,45,88
14,14,97,90,80,92,36,78
15,15,72,88,94,87,65,78
16,16,77,92,82,88,45,85
17,17,73,48,75,70,94,83
18,18,93,90,82,89,51,78
19,19,89,64,80,84,88,85
20,20,90,56,83,85,88,83
21,21,84,92,74,87,37,73
22,22,92,92,84,91,44,77
23,23,89,92,91,91,62,71
24,24,84,82,90,91,38,60
25,25,70,94,86,85,50,84
26,26,80,87,90,94,33,64
27,27,79,88,83,87,39,78
28,28,85,89,76,93,46,90
29,29,69,93,84,83,49,83
30,30,75,91,80,87,44,84
31,31,90,89,82,89,46,78
32,32,90,88,84,93,59,88
33,33,86,90,80,88,45,72
34,34,91,89,82,92,56,68
35,35,73,79,93,89,69,66
36,36,80,76,92,90,69,69
37,37,83,89,84,88,35,76
38,38,85,88,88,86,80,87
39,39,87,88,87,91,42,75
40,40,91,83,83,80,85,86
41,41,83,90,87,91,41,66
42,42,88,87,88,81,89,82
43,43,70,62,81,76,92,83
44,44,92,89,70,86,44,85
45,45,76,89,93,86,71,80
46,46,95,82,78,90,29,68
47,47,78,60,71,72,89,86
48,48,89,87,81,88,45,76
49,49,62,39,66,69,89,87
50,50,58,73,80,80,85,84
51,51,86,83,85,93,37,61
52,52,86,85,89,91,47,86
53,53,86,85,85,89,56,90
54,54,63,75,79,73,89,88
55,55,89,90,75,88,41,72
56,56,83,60,84,81,86,78
57,57,76,44,63,68,92,84
58,58,89,90,78,88,41,72
59,59,82,91,76,78,49,84
60,60,89,84,86,90,43,71
61,61,92,90,79,87,45,80
62,62,87,90,74,80,44,87
63,63,84,89,71,83,38,80
64,64,86,89,86,89,50,88
65,65,82,88,89,88,43,82
66,66,84,68,83,83,86,70
67,67,86,89,71,84,40,75
68,68,90,91,84,90,49,84
69,69,80,44,62,67,93,83
70,70,91,89,84,90,49,73
71,71,72,46,66,59,91,88
72,72,92,89,78,90,40,65
73,73,89,84,86,91,47,87
74,74,89,84,86,90,38,77
75,75,84,90,77,83,45,86
76,76,89,90,76,86,47,85
77,77,83,93,73,83,44,76
78,78,91,83,87,91,48,66
79,79,90,88,87,91,55,84
80,80,86,89,72,83,42,79
81,81,71,51,63,62,91,90
82,82,82,72,74,77,91,89
83,83,78,60,71,72,89,86
84,84,90,85,83,91,63,74
85,85,86,82,91,86,64,86
86,86,71,86,90,83,69,77
87,87,69,78,86,92,70,69
88,88,88,82,84,84,80,82
89,89,80,88,87,88,58,75
90,90,85,90,78,87,46,86
91,91,70,74,88,84,82,79
92,92,90,86,66,83,42,82
93,93,89,85,85,90,37,65
94,94,71,84,90,90,33,66
95,95,84,80,88,90,40,63
96,96,74,67,74,68,92,84
97,97,86,90,71,85,35,73
98,98,78,88,88,83,75,82
99,99,76,86,85,78,88,84
100,100,74,86,89,78,62,80
101,101,88,90,81,86,53,87
102,102,84,87,79,86,39,92
103,103,86,85,76,88,54,90
104,104,76,83,86,83,83,83
105,105,89,88,69,87,35,66
106,106,82,48,65,64,90,85
107,107,80,85,92,85,66,79
108,108,84,84,86,87,58,77
109,109,78,67,68,76,90,85
110,110,82,78,80,82,88,90
111,111,84,91,84,87,45,73
112,112,82,51,65,66,88,88
113,113,86,87,73,80,40,79
114,114,82,86,88,88,41,64
115,115,87,83,83,93,40,60
116,116,77,56,71,73,91,82
117,117,87,59,80,82,83,82
118,118,82,87,83,83,35,65
119,119,74,65,75,74,90,88
120,120,90,91,85,90,46,70
121,121,76,55,76,75,89,86
122,122,83,90,73,82,43,83
123,123,93,81,80,93,37,58
124,124,80,60,68,70,90,86
125,125,83,89,75,84,43,80
126,126,86,90,79,85,55,76
127,127,81,84,90,86,53,75
128,128,85,89,80,86,46,89
129,129,88,90,82,85,43,71
130,130,75,63,75,76,88,81
131,131,77,89,75,81,46,80
132,132,74,83,89,88,62,65
133,133,82,88,72,86,49,86
134,134,87,88,80,84,42,70
135,135,72,81,88,87,61,64
136,136,72,76,89,87,72,66
137,137,82,69,86,87,77,78
138,138,86,84,74,89,44,85
139,139,84,85,90,84,49,88
140,140,78,56,75,74,89,80
141,141,90,82,79,89,52,83
142,142,80,86,71,85,48,85
143,143,85,82,87,89,51,85
144,144,82,87,86,91,41,61
145,145,88,89,69,81,40,76
146,146,79,84,87,85,66,79
147,147,81,87,85,81,78,83
148,148,89,87,75,85,43,75
149,149,83,89,79,88,43,75
150,150,84,86,76,81,40,79
151,151,81,48,76,78,86,86
152,152,89,85,83,89,44,83
153,153,77,88,86,84,71,80
154,154,82,88,67,79,42,77
155,155,84,89,69,83,43,78
156,156,85,88,85,89,41,63
157,157,86,79,84,86,38,64
158,158,77,73,80,77,87,86
159,159,78,48,62,62,90,89
160,160,71,77,86,78,82,80
161,161,77,77,79,76,85,87
162,162,88,84,86,90,51,72
163,163,83,80,87,85,43,76
164,164,86,63,65,68,90,87
165,165,78,83,86,84,80,89
166,166,80,85,81,87,34,74
167,167,82,81,85,86,80,82
168,168,93,83,81,90,84,80
